Cowboy Bebop,"Doctor Baccus",Supporting,"Spellos, Peter"
Cowboy Bebop,"Donnelly",Supporting,"Matsuoka, Fumio"
Cowboy Bebop,"Doohan",Supporting,"Aono, Takeshi"
Cowboy Bebop,"Dr. Londes",Supporting,"Otsuka, Chikao"
Cowboy Bebop,"Eckener, Grencia Mars Elijah Guo",Supporting,"Horiuchi, Kenyuu"
Cowboy Bebop,"Ein",Supporting,"Yamadera, Kouichi"
Cowboy Bebop,"Elroy",Supporting,"Sasaki, Bin"
Cowboy Bebop,"Fad",Supporting,"Hirose, Masashi"
Cowboy Bebop,"Frank, Jeffly",Supporting,"Staley, Steve"
Cowboy Bebop,"Gang Boss",Supporting,"Naka, Hiroshi"
Cowboy Bebop,"Gate Chairman",Supporting,"McConnohie, Michael"
Cowboy Bebop,"George",Supporting,"Nagasako, Takashi"
Cowboy Bebop,"Giraffe",Supporting,"Sorich, Michael"
Cowboy Bebop,"Gordon",Supporting,"Price, Jamieson"
Cowboy Bebop,"Hakim, Abdul",Supporting,"Ootomo, Ryuuzaburou"
Cowboy Bebop,"Harman",Supporting,"Miki, Shinichiro"
Cowboy Bebop,"Harrison",Supporting,"Chafurin"
Cowboy Bebop,"Hesap Lütfen, Afedersiniz",Supporting,"Utsumi, Kenji"
Cowboy Bebop,"Hex, Chessmaster",Supporting,"Watabe, Takeshi"
Cowboy Bebop,"Hippie ",Supporting,"McConnohie, Michael"
Cowboy Bebop,"Homeless Man",Supporting,"McConnohie, Michael"
Cowboy Bebop,"Hospice Guard ",Supporting,"McConnohie, Michael"
Cowboy Bebop,"Huey",Supporting,"Tsuji, Shinpachi"
Cowboy Bebop,"Indian Child",Supporting,"Nagasawa, Miki"
Cowboy Bebop,"Jobim",Supporting,"Naka, Hiroshi"
Cowboy Bebop,"Jonathan ",Supporting,"Kishino, Yukimasa"
Cowboy Bebop,"Judy",Supporting,"Nagasawa, Miki"
Cowboy Bebop,"Julia",Supporting,"McGlynn, Mary Elizabeth"
Cowboy Bebop,"Julius",Supporting,"Iwasaki, Hiroshi"
Cowboy Bebop,"Kellerman, Yuri",Supporting,"Tatsuta, Naoki"
Cowboy Bebop,"Laughing Bull",Supporting,"Gregory, Michael"
Cowboy Bebop,"Levinsonn, David ",Supporting,"N/A"
Cowboy Bebop,"Lin",Supporting,"Midorikawa, Hikaru"
Cowboy Bebop,"Long, Ping",Supporting,"Naka, Hiroshi"
Cowboy Bebop,"Long, Sou",Supporting,"Tsuji, Shinpachi"
Cowboy Bebop,"Long, Wang",Supporting,"Taguchi, Takashi"
Cowboy Bebop,"Louie",Supporting,"Nakajima, Toshihiko"
Cowboy Bebop,"Love Machine",Supporting,"Carroll, Christopher"
Cowboy Bebop,"Mac",Supporting,"McConnohie, Michael"
Cowboy Bebop,"Macho",Supporting,"Nakata, Kazuhiro"
Cowboy Bebop,"MacIntire",Supporting,"Nakahara, Shigeru"
Cowboy Bebop,"Mad Pierrot",Supporting,"Ginga, Banjou"
Cowboy Bebop,"Matsumoto, Whitney Hagas",Supporting,"Ootsuka, Akio"
Cowboy Bebop,"Melon Vendor",Supporting,"Stigler, Barry"
Cowboy Bebop,"Miles",Supporting,"Shioya, Yoku"
Cowboy Bebop,"Miss Manley",Supporting,"Suzuka, Chiharu"
Cowboy Bebop,"Morgan",Supporting,"Nakata, Kazuhiro"
Cowboy Bebop,"MPU",Supporting,"Nakata, Jouji"
Cowboy Bebop,"Murdock, Maria",Supporting,"McGlynn, Mary Elizabeth"
Cowboy Bebop,"Muriel",Supporting,"Forstadt, Rebecca"
Cowboy Bebop,"Nero",Supporting,"Suzuki, Eiichiro"
Cowboy Bebop,"Old Man",Supporting,"Knight, William Frederick"
Cowboy Bebop,"Otto",Supporting,"Kramer, Steve"
Cowboy Bebop,"Panchorero, Baker",Supporting,"Stone, Doug"
Cowboy Bebop,"Paolo, Carpi ",Supporting,"Buchholz, Bob"
Cowboy Bebop,"Pet Store Owner",Supporting,"Goodson, Barbara"
Cowboy Bebop,"Pilot",Supporting,"Mikimoto, Yuji"
Cowboy Bebop,"Piyoko Seller ",Supporting,"Forstadt, Rebecca"
Cowboy Bebop,"Punch",Supporting,"St. Peter, Paul"
Cowboy Bebop,"Punch's Mother",Supporting,"Okamoto, Yoshiko"
Cowboy Bebop,"Puzi, Pao",Supporting,"Ooki, Tamio"
Cowboy Bebop,"Puzi, Meifa",Supporting,"Liberatori, Perla"
Cowboy Bebop,"Rather, Mark",Supporting,"St. Peter, Paul"
Cowboy Bebop,"Reggie",Supporting,"Naka, Hiroshi"
Cowboy Bebop,"Reporter",Supporting,"N/A"
Cowboy Bebop,"Rinou Tea House Owner",Supporting,"Cheung, George"
Cowboy Bebop,"River, Fatty",Supporting,"Gouri, Daisuke"
Cowboy Bebop,"Ruth",Supporting,"Ishii, Kouji"
Cowboy Bebop,"Sally's Granddaughter",Supporting,"Lynn, Sherry"
Cowboy Bebop,"Scratch Hostess",Supporting,"McGlynn, Mary Elizabeth"
Cowboy Bebop,"Scratch Member",Supporting,"Siddall, Brianne"
Cowboy Bebop,"Shaft",Supporting,"Ootsuka, Houchuu"
Cowboy Bebop,"Shin",Supporting,"Hiyama, Nobuyuki"
Cowboy Bebop,"Sister Clara",Supporting,"Horikoshi, Mami"
Cowboy Bebop,"Sneaky Snake",Supporting,"McConnohie, Michael"
Cowboy Bebop,"Solensan, Asimov",Supporting,"Thornton, Kirk"
Cowboy Bebop,"Solensan, Katerina",Supporting,"Torres, Laura"
Cowboy Bebop,"Space Warrior",Supporting,"Frierson, Eddie"
